nSpecialGuestID	Remark	nLevel	nUnlockLevel	nMonsterCount	nBossCount	nGold	nExp	nPraise	NeedGoods_Type	NeedGoods_Count	NeedGoods_Coefficient	RewardItem1	RewardItem2	RewardItem3
1025	小龙哥	1	21	7	1	20000	0	0	"水果,饮料"	600	0.66	"9304,1,20"	"9204,1,20"	"7960,300,2"
1025	小龙哥	2	21	9	1	40000	0	0	"水果,蔬菜"	600	0.86	"9304,1,20"	"9204,1,20"	"7960,400,2"
1025	小龙哥	3	21	11	1	60000	0	0	"水果,蔬菜"	600	1.06	"9304,1,20"	"9204,1,20"	"7960,500,2"
1025	小龙哥	4	21	13	1	100000	0	0	"水果,蔬菜"	600	1.26	"9304,1,20"	"9204,1,20"	"7960,600,2"
1025	小龙哥	5	21	15	1	150000	0	0	"水果,蔬菜"	600	1.46	"9304,1,20"	"9204,1,20"	"7960,700,2"
1023	阿拉丁	1	29	7	1	0	200	0	"水果,蔬菜"	600	0.90	"9304,1,20"	"9204,1,20"	"7960,350,2"
1023	阿拉丁	2	29	9	1	0	300	0	"水果,蔬菜"	600	1.10	"9304,1,20"	"9204,1,20"	"7960,450,2"
1023	阿拉丁	3	29	11	1	0	400	0	"水果,蔬菜"	600	1.30	"9304,1,20"	"9204,1,20"	"7960,550,2"
1023	阿拉丁	4	29	13	1	0	500	0	"水果,蔬菜"	600	1.50	"9304,1,20"	"9204,1,20"	"7960,650,2"
1023	阿拉丁	5	29	15	1	0	600	0	"水果,蔬菜"	600	1.70	"9304,1,20"	"9204,1,20"	"7960,750,2"
1017	大酋长	1	40	7	1	0	0	50	"水果,蔬菜"	600	1.26	"9306,1,10"	"9206,1,10"	"7960,400,2"
1017	大酋长	2	40	9	1	0	0	100	"水果,蔬菜"	600	1.46	"9306,1,12"	"9206,1,12"	"7960,500,2"
1017	大酋长	3	40	11	1	0	0	150	"水果,蔬菜"	600	1.66	"9306,1,14"	"9206,1,14"	"7960,600,2"
1017	大酋长	4	40	13	1	0	0	200	"水果,蔬菜"	600	1.86	"9306,1,16"	"9206,1,16"	"7960,700,2"
1017	大酋长	5	40	15	1	0	0	250	"水果,蔬菜"	600	2.06	"9306,1,18"	"9206,1,18"	"7960,800,2"
1030	哆啦梦梦	1	50	7	1	0	0	100	"水果,蔬菜"	600	1.80	"9103,1,1"	"9206,1,12"	"7960,500,2"
1030	哆啦梦梦	2	50	9	1	0	0	150	"水果,蔬菜"	600	2.20	"9103,1,2"	"9206,1,14"	"7960,600,2"
1030	哆啦梦梦	3	50	11	1	0	0	200	"水果,蔬菜"	600	2.60	"9103,1,3"	"9206,1,16"	"7960,700,2"
1030	哆啦梦梦	4	50	13	1	0	0	250	"水果,蔬菜"	600	3.00	"9103,1,4"	"9206,1,18"	"7960,800,2"
1030	哆啦梦梦	5	50	15	1	0	0	300	"水果,蔬菜"	600	4.00	"9103,1,5"	"9206,1,20"	"7960,1000,2"
